Date,Intensite,Vitesse,T_Bobinage_1,T_Bobinage_2,T_Bobinage_3,T_Palier_1_moteur,T_Palier_2_moteur,Vibration,T_Palier_1_vent,T_Palier_2_vent,Debit_air,Panne
11.04.2019 18:00,1149.19,877.14,107.75,104.91,102.9,73.31,61.07,1.79,65.42,45.67,210181.12,0
11.04.2019 19:00,85.75,65.37,93.91,92.26,89.31,69.11,60.59,0.56,59.21,47.46,15063.81,0
11.04.2019 20:00,0.0,0.0,80.04,79.04,73.95,59.61,56.94,0.44,43.3,35.15,0.0,0
11.04.2019 21:00,0.0,0.0,74.16,72.18,65.72,53.95,54.11,0.44,34.88,27.69,0.0,0
11.04.2019 22:00,0.0,0.0,69.57,66.83,60.32,50.4,51.16,0.44,30.16,23.29,0.0,0
11.04.2019 23:00,0.0,0.0,65.49,62.15,57.83,48.06,48.06,0.44,27.73,21.7,0.0,0
12.04.2019 00:00,834.31,633.96,74.59,71.03,69.14,50.6,46.87,1.45,41.44,28.64,161196.96,0
12.04.2019 01:00,1077.68,850.28,89.2,86.3,84.76,57.64,49.34,1.78,54.48,38.26,210104.21,0
12.04.2019 02:00,1044.61,838.1,92.53,89.85,88.27,59.89,50.06,1.69,55.47,39.13,210106.86,0
12.04.2019 03:00,1019.07,827.54,93.46,90.72,89.13,61.36,50.24,1.67,56.26,38.65,210217.26,0
12.04.2019 04:00,1003.6,819.78,93.29,90.54,88.93,61.7,50.36,1.62,56.62,38.75,211199.34,0
12.04.2019 05:00,1112.07,862.26,94.61,91.88,90.35,62.3,50.68,2.12,58.98,39.87,223617.05,0
12.04.2019 06:00,1160.1,873.52,97.86,94.95,93.44,63.8,51.78,1.81,58.96,39.77,227645.2,0
12.04.2019 07:00,1140.93,873.55,99.64,96.71,95.15,65.4,52.84,1.79,59.62,39.05,226909.76,0
12.04.2019 08:00,1140.51,873.51,100.66,97.7,96.0,66.62,53.57,1.79,59.75,39.13,229676.59,0
12.04.2019 09:00,57.9,46.8,85.93,84.14,82.28,62.34,53.1,0.54,53.95,43.24,13968.09,0
12.04.2019 10:00,996.26,742.5,88.02,85.68,84.39,59.9,51.53,1.73,51.75,35.86,194745.64,0
12.04.2019 11:00,1167.68,873.52,99.03,96.15,94.62,65.26,54.85,1.74,58.5,41.98,224673.37,0
12.04.2019 12:00,1150.02,873.52,102.44,99.65,98.03,68.45,57.23,1.67,59.62,45.14,217919.97,0
12.04.2019 13:00,1130.11,873.5,104.51,101.74,100.01,70.76,59.04,1.65,61.84,46.6,216591.46,0
12.04.2019 14:00,1120.47,864.02,106.25,103.45,101.6,72.49,60.52,1.73,64.35,46.64,220447.78,0
12.04.2019 15:00,925.85,670.14,103.24,100.59,98.65,72.42,61.3,1.65,62.9,46.93,167894.6,0
12.04.2019 16:00,1180.19,877.15,107.61,104.7,102.85,74.16,62.94,1.78,66.04,47.12,217982.58,0
12.04.2019 17:00,1161.2,874.1,110.13,107.19,105.23,75.95,63.55,1.73,66.9,48.07,217978.47,0
12.04.2019 18:00,683.96,521.01,107.38,104.63,102.38,75.95,63.94,1.23,66.38,50.48,128569.41,0
12.04.2019 19:00,0.0,0.0,87.35,86.53,82.79,66.83,61.27,0.44,52.63,44.71,0.0,0
12.04.2019 20:00,0.0,0.0,79.61,78.13,72.44,59.34,58.31,0.44,40.73,32.83,0.0,0
12.04.2019 21:00,0.0,0.0,74.43,72.15,65.53,54.44,55.69,0.44,34.15,27.32,0.0,0
12.04.2019 22:00,0.0,0.0,70.13,67.29,61.08,51.27,52.66,0.44,30.17,23.94,0.0,0
12.04.2019 23:00,0.0,0.0,66.36,63.06,58.94,49.2,49.41,0.44,27.78,22.28,28.14,0
13.04.2019 00:00,878.85,627.26,76.2,72.55,70.7,51.82,48.18,1.44,41.91,29.92,165772.97,0
13.04.2019 01:00,1132.96,859.95,91.99,88.85,87.41,59.35,51.12,1.73,55.73,40.66,218073.9,0
13.04.2019 02:00,1105.74,847.48,95.25,92.37,90.89,61.91,51.96,1.68,55.16,40.85,217801.35,0
13.04.2019 03:00,1098.89,849.53,96.29,93.39,91.94,63.46,52.2,1.71,55.86,39.76,218605.07,0
13.04.2019 04:00,1130.96,863.39,97.63,94.66,93.16,64.48,52.32,1.83,56.12,38.87,223870.72,0
13.04.2019 05:00,1138.42,863.39,98.39,95.36,93.78,65.14,52.61,1.86,56.56,38.01,224076.45,0
13.04.2019 06:00,1120.69,863.38,98.76,95.69,94.1,65.56,52.89,1.87,57.23,37.26,223535.35,0
13.04.2019 07:00,1134.52,863.36,99.05,96.01,94.38,65.8,53.01,1.87,57.5,37.4,224212.29,0
13.04.2019 08:00,1128.43,863.37,99.59,96.56,94.95,65.91,53.7,1.85,58.81,38.71,225272.18,0
13.04.2019 09:00,1138.5,863.37,100.91,97.99,96.42,66.38,55.35,1.85,61.54,40.72,225550.88,0
13.04.2019 10:00,1147.47,863.37,102.78,99.94,98.34,67.53,57.44,1.8,63.14,42.65,225910.08,0
13.04.2019 11:00,1146.3,863.39,104.46,101.59,99.91,69.05,59.05,1.78,64.15,43.24,224174.68,0
13.04.2019 12:00,1078.35,853.39,105.22,102.4,100.6,70.33,60.31,1.77,64.64,44.4,206525.39,0
13.04.2019 13:00,1111.4,850.46,105.44,102.71,100.82,71.24,61.09,1.77,65.47,45.58,201466.49,0
13.04.2019 14:00,1085.2,849.15,106.28,103.55,101.73,72.27,61.9,1.76,66.36,47.35,203089.44,0
13.04.2019 15:00,1097.44,856.32,107.7,105.01,103.13,73.95,62.72,1.71,67.22,48.68,205926.59,0
13.04.2019 16:00,1108.45,859.6,109.18,106.44,104.6,75.62,64.25,1.68,68.01,49.71,206015.9,0
13.04.2019 17:00,1116.45,861.05,110.58,107.79,105.84,76.97,65.02,1.68,68.33,50.01,205741.67,0
13.04.2019 18:00,1021.25,777.57,110.13,107.35,105.31,77.54,65.33,1.67,66.88,49.69,170516.55,0
13.04.2019 19:00,149.99,121.27,96.71,94.94,92.16,72.98,64.51,0.65,61.21,50.97,27805.93,0
13.04.2019 20:00,442.65,322.75,86.95,85.55,81.37,64.64,60.58,0.98,49.23,38.75,83723.65,0
13.04.2019 21:00,1124.13,852.85,100.1,97.05,94.58,68.46,59.35,1.76,57.06,41.78,205687.97,0
13.04.2019 22:00,1087.69,855.68,102.8,99.88,98.11,69.82,58.8,1.71,57.99,44.32,206302.06,0
13.04.2019 23:00,1120.87,859.3,103.82,100.86,99.32,70.36,58.76,1.78,58.13,44.75,206045.2,0
14.04.2019 00:00,1121.37,856.91,103.69,100.59,99.15,70.6,58.53,1.77,57.87,44.18,206065.81,0
14.04.2019 01:00,1121.08,856.42,102.95,99.76,98.33,70.54,57.98,1.77,57.58,43.53,206039.42,0
14.04.2019 02:00,1123.09,855.27,102.0,98.76,97.36,70.11,57.04,1.75,56.49,42.05,206010.82,0
14.04.2019 03:00,1105.4,851.49,100.84,97.65,96.28,69.77,56.23,1.71,55.4,41.06,206022.91,0
14.04.2019 04:00,1111.08,853.72,99.89,96.75,95.37,69.31,55.34,1.78,54.68,39.51,205958.89,0
14.04.2019 05:00,1122.14,855.27,99.57,96.37,95.06,69.01,54.79,1.76,55.08,40.24,205925.83,0
14.04.2019 06:00,1093.15,850.39,99.22,96.12,94.84,68.88,54.64,1.71,54.89,39.8,206123.35,0
14.04.2019 07:00,1084.77,850.64,99.34,96.33,95.04,68.62,54.5,1.73,54.89,40.62,205952.15,0
14.04.2019 08:00,1074.28,848.81,99.79,96.87,95.61,69.1,55.02,1.74,56.35,41.26,206334.61,0
14.04.2019 09:00,1096.97,849.28,100.73,97.87,96.64,70.18,56.4,1.78,58.75,43.15,205857.44,0
14.04.2019 10:00,1095.49,849.76,102.58,99.77,98.54,71.73,58.28,1.85,62.37,45.88,206000.54,0
14.04.2019 11:00,1076.29,850.0,104.81,102.04,100.75,73.27,60.41,1.91,65.8,48.06,206244.66,0
14.04.2019 12:00,1085.8,849.66,106.89,104.17,102.71,74.91,62.12,1.85,67.7,50.38,206059.32,0
14.04.2019 13:00,1087.25,849.73,108.7,106.02,104.47,76.45,63.68,1.77,68.83,51.91,206139.45,0
14.04.2019 14:00,1079.38,847.85,110.28,107.59,106.05,77.82,65.16,1.87,69.9,52.98,205979.43,0
14.04.2019 15:00,1087.95,852.33,111.89,109.21,107.64,79.19,66.79,1.71,70.36,53.9,205549.58,0
14.04.2019 16:00,1085.71,847.42,113.26,110.6,108.94,80.42,68.08,1.71,70.94,54.19,201979.78,0
14.04.2019 17:00,1078.99,845.26,114.13,111.43,109.74,81.39,69.54,1.95,71.29,54.49,201826.76,0
14.04.2019 18:00,300.15,230.13,104.89,102.92,100.59,78.78,69.97,0.85,68.29,56.76,54312.55,0
14.04.2019 19:00,0.0,0.0,89.28,88.4,84.55,69.8,66.21,0.45,54.27,48.1,0.0,0
14.04.2019 20:00,0.0,0.0,83.54,81.66,77.89,64.45,63.48,0.44,46.28,41.28,0.0,0
14.04.2019 21:00,851.39,594.06,90.65,87.03,85.99,64.85,62.39,1.54,50.75,39.95,146540.08,0
14.04.2019 22:00,1110.12,870.05,106.94,103.37,102.07,73.81,64.0,1.79,61.4,48.11,214178.59,0
14.04.2019 23:00,1097.5,858.53,108.36,105.24,103.58,75.19,63.71,1.81,61.58,47.79,214106.13,0
15.04.2019 00:00,340.04,255.99,99.54,96.72,95.67,71.97,63.16,0.85,59.51,52.41,55380.75,0
15.04.2019 01:00,0.0,0.0,81.2,78.28,81.98,60.93,60.12,0.44,44.4,44.88,43.57,0
15.04.2019 02:00,0.0,0.0,73.19,69.28,75.86,53.99,57.67,0.44,35.86,37.03,0.0,0
15.04.2019 03:00,0.0,0.0,67.32,63.02,70.96,49.28,55.32,0.44,30.89,32.14,0.0,0
15.04.2019 04:00,0.0,0.0,62.08,57.69,66.48,45.37,52.82,0.44,27.54,28.69,0.0,0
15.04.2019 05:00,0.0,0.0,57.75,53.76,62.56,42.53,50.39,0.44,25.9,27.06,4.18,0
15.04.2019 06:00,0.0,0.0,54.52,51.03,59.33,40.59,48.22,0.44,25.1,26.01,920.68,0
15.04.2019 07:00,0.0,0.0,52.11,49.13,56.68,39.36,46.33,0.44,24.99,25.56,0.0,0
15.04.2019 08:00,0.0,0.0,50.92,48.74,54.52,39.43,44.74,0.44,25.3,25.27,22.87,0
15.04.2019 09:00,0.0,0.0,50.29,48.6,52.75,39.57,43.48,0.44,25.59,25.28,1.49,0
15.04.2019 10:00,0.0,0.0,49.76,48.54,51.04,39.51,42.35,0.44,25.92,25.4,0.0,0
15.04.2019 11:00,183.33,0.0,49.31,48.23,49.45,39.36,41.33,0.44,26.22,25.9,4326.78,0
15.04.2019 12:00,1100.0,0.0,48.75,47.81,48.15,39.13,40.38,0.47,26.57,26.67,0.0,0
15.04.2019 13:00,1100.0,0.0,48.14,47.3,47.08,38.71,39.55,0.47,26.76,26.89,0.0,0
15.04.2019 14:00,1100.0,0.0,47.55,46.75,46.23,38.36,38.9,0.47,26.92,27.2,0.0,0
15.04.2019 15:00,1100.0,0.0,46.78,45.99,45.33,37.66,38.33,0.47,27.2,27.2,0.0,0
15.04.2019 16:00,1100.0,0.0,21.58,21.6,20.84,32.76,32.08,0.5,27.14,27.05,0.0,0
15.04.2019 17:00,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,26.51,25.62,0.0,0
15.04.2019 18:00,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,25.76,24.74,0.0,0
15.04.2019 19:00,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,24.92,23.46,0.0,0
15.04.2019 20:00,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,24.13,22.29,0.0,0
15.04.2019 21:00,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,23.58,21.9,0.0,0
15.04.2019 22:00,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,22.84,21.58,0.0,0
15.04.2019 23:00,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,22.32,20.92,0.0,0
